Registro ANS;CNPJ;RazÆo Social;Nome Fantasia;Modalidade;Logradouro;N£mero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endere‡o eletr“nico;Representante;Cargo Representante;Data Registro ANS
418374;1,18281E+13; CAIXA DE ASSISTÒNCIA DO SETOR DE ENERGIA -EVIDA -ASSISTÒNCIA · SAéDE;E-VIDA;AutogestÆo;SETOR DE HABITA€åES COLETIVAS GEMINADAS ;QUADRA 704/705;BLOCO C, LOJA 48;ASA NORTE;Bras¡lia;DF;70730630;61;39668300;39668302;governanca@evida.org.br;ELI PINTO DE MELO JUNIOR;PRESIDENTE;12/01/2012
417734;7,52525E+12;ABBESS - ASSOCIA€ÇO BRASILEIRA DE BENEFICIOS E SEGURIDADE SOCIAL;;Administradora de Benef¡cios;AV RIO BRANCO;120;PAVIMENTO 4 - SALA 426;CENTRO;Rio de Janeiro;RJ;20040001;21;22425532;32244459;abbess@ig.com.br;MARCELO BRANDÇO ROCHA;PRESIDENTE;20/12/2010
314668;1,75058E+13;ABERTTA SAéDE - ASSOCIA€ÇO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL;ABERTTA SAéDE;AutogestÆo;AV. BERNARDO MONTEIRO;831;Subsolo,salas 201 e 211 a 224 e 3§ andar;SANTA EFIGÒNIA;Belo Horizonte;MG;30150281;31;32484300;32484377;abertta.ans@arcelormittal.com.br;JOS ANTâNIO GIMENEZ;PRESIDENTE;28/12/1998
419621;1,76875E+13;ABPLUS ADMINISTRADORA DE BENEFÖCIOS LTDA.;;Administradora de Benef¡cios;AVENIDA PRESIDENTE VARGAS;534;SALA 2201;CENTRO;Rio de Janeiro;RJ;20071000;21;35531692;;LEONARDO@UNIMEDICASAUDE.COM;ROBERTO CARLOS MACHADO RODRIGUES;ADMINISTRADOR;13/11/2014
418901;1,04583E+13;AD SALUTE ADMINISTRADORA DE BENEFÖCIOS EIRELI;AD SALUTE;Administradora de Benef¡cios;RUA BUENOS AIRES;68;SALA 2901;CENTRO;Rio de Janeiro;RJ;20070020;21;35531692;;LEONARDO@UNIMEDICASAUDE.COM;JOÇO CARMO DA SILVEIRA;ADMINISTRADOR;13/06/2013
420671;2,61349E+13;ADDERE ADMINISTRADORA DE BENEFÖCIOS EIRELI;ADDERE ADMINISTRADORA DE BENEFÖCIOS;Administradora de Benef¡cios;AV. DAS ARAUCµRIAS;LOTE 1835;1905, 1955 E 2005, 4§ PISO, SL 444/445;SUL (µGUAS CLARAS) ;Bras¡lia;DF;71936250;61;982537447;;contato@addereadm.com;JULIANA DOS SANTOS GONTIJO;S¢cia Administradora;13/12/2016
417556;9,03528E+12;ADM ADMINISTRADORA DE BENEFÖCIOS EIRELI.;;Administradora de Benef¡cios;RUA DOUTOR RUBENS GOMES BUENO;691;17ø ANDAR - PARTE;VARZEA DE BAIXO;SÆo Paulo;SP;4730903;11;47005033;34911102;br.juridico@aon.com.br;PAULO JORGE RASCAO CARDOSO;ADMINISTRADOR;21/09/2010
421553;2,83158E+13;ADM LIFE - ADMINISTRADORA DE BENEFÖCIOS LTDA.;ADM LIFE;Administradora de Benef¡cios;AVENIDA PEDROSO DE MORAIS;272;CJ 96;PINHEIROS;SÆo Paulo;SP;5420000;11;34769350;;cristiane@admlife.com.br;NELITO JéNIOR DE ALMEIDA SILVA;S¢cio Administrador;09/01/2019
416932;7,86783E+12;ADMSERV BENEFÖCIOS E SERVI€OS LTDA;GIA ADMINISTRADORA DE BENEFICIOS;Administradora de Benef¡cios;RUA TRAIPU;125;;PACAEMBU;SÆo Paulo;SP;1235000;11;26917601;38281888;fabio.oliveira@geia.com.br;PEDRO OLIVEIRA OBLIZINER;SàCIO ADMINISTRADOR;30/03/2009
422347;3,72015E+13;ADRESS ADMINISTRADORA DE BENEFICIOS LTDA;ADRESS;Administradora de Benef¡cios;AVENIDA RIO BRANCO;125;15§ ANDAR  SALA 1501;CENTRO;Rio de Janeiro;RJ;20040006;21;22524066;;contato@adress.com.br;LAIR ISABEL BOHRER DIEDAM;SàCIA ADMINISTRADORA;03/09/2020
335657;2,04181E+12;ADVANCE PLANOS DE SAéDE LTDA;;Medicina de Grupo;RUA DR. SODR;119;;VILA NOVA CONCEI€ÇO;SÆo Paulo;SP;4535110;1;130409321;130401283;planosdesaude@advanceplanos.com.br;JOS JAIR JAMES DE ARRUDA PINTO;ADMINISTRADOR;28/12/1998
413283;3,69437E+12;AESP ODONTO ASSISTÒNCIA ODONTOLàGICA S/S LTDA EPP;;Odontologia de Grupo;ALAMEDA GRAJAé;60;SALA 2814;ALPHAVILLE INDUSTRIAL;Barueri;SP;6454050;1;168135656;168135656;aespodonto@aespodonto.com.br;CARLOS EUGENIO PORTO BRAGA;ADMINISTRADOR;07/03/2001
